Dag,Fall,Fall idag,På sjukhus,På IVA,Döda,Döda idag
2020-05-08,25396,683,2089,466,3191,135
2020-05-09,26019,623,2047,459,3229,38
2020-05-10,26385,366,2040,443,3239,10
2020-05-11,26794,409,2040,444,3279,40
2020-05-12,27368,574,1950,422,3343,64
2020-05-13,28008,640,1919,411,3476,133
2020-05-14,28693,685,1873,401,3550,74
2020-05-15,29352,659,1817,388,3669,119
2020-05-16,29755,403,1797,381,3689,20
2020-05-17,30198,443,1797,381,3694,5
2020-05-18,30467,269,1829,383,3712,18
2020-05-19,30925,458,1772,366,3783,71
2020-05-20,31681,756,1747,366,3857,74
2020-05-21,32252,571,1705,358,3895,38
2020-05-22,32953,697,1732,352,3956,61
2020-05-23,33296,343,1712,344,4029,73
2020-05-24,33537,241,1712,344,4032,3
2020-05-25,34302,485,1734,337,4066,34
2020-05-26,34979,677,1732,331,4146,80
2020-05-27,35712,733,1687,316,4243,97
2020-05-28,36423,711,1633,320,4291,48
2020-05-29,37202,779,1629,310,4367,76
2020-05-30,37667,465,1608,305,4409,42
2020-05-31,37736,69,1617,309,4415,6
2020-06-01,38095,359,1649,307,4435,20
2020-06-02,38774,679,1630,309,4501,66
2020-06-03,40945,2171,1559,308,4578,77
2020-06-04,42064,1119,1565,292,4598,20
2020-06-05,43010,946,1565,292,4668,70
2020-06-06,43946,802,1480,290,4678,4
2020-06-07,44845,899,1487,300,4689,11
2020-06-08,45301,456,1547,291,4722,33
2020-06-09,46124,823,1463,280,4757,35
2020-06-10,46900,776,1463,280,4824,67
2020-06-11,48488,1588,1370,268,4849,25
2020-06-12,49900,1412,1352,267,4887,38
2020-06-13,52279,1111,1337,265,4892,5
2020-06-14,52697,418,1328,264,4892,0
2020-06-15,53405,708,1303,245,4909,17
2020-06-16,54608,1203,1264,239,4952,43
2020-06-17,56250,1642,1223,230,5063,111
2020-06-18,57770,1520,1179,223,5078,15
2020-06-19,58986,1216,1181,221,5078,0
2020-06-20,59817,831,1181,221,5079,1
2020-06-21,60112,295,1176,221,5079,0
2020-06-22,61101,989,1144,201,5151,72
2020-06-23,62319,1218,1148,201,5182,31
2020-06-24,64038,1719,1094,191,5222,40
2020-06-25,65515,1477,993,182,5249,27
2020-06-26,66679,1164,986,170,5295,46
2020-06-27,67609,930,986,170,5304,9
2020-06-28,68056,447,986,170,5304,0
2020-06-29,68881,825,895,157,5332,28
2020-06-30,69746,865,879,150,5351,19
2020-07-01,70586,840,858,139,5395,44
2020-07-02,71315,729,770,129,5436,41
2020-07-03,72159,844,776,138,5446,10
2020-07-04,72588,429,771,137,5446,0
2020-07-05,73040,452,772,137,5447,1
2020-07-06,73396,356,672,126,5461,14
2020-07-07,73686,290,662,120,5472,11
2020-07-08,74394,708,628,109,5515,43
2020-07-09,74860,466,566,102,5532,17
2020-07-10,75312,452,527,97,5554,22
2020-07-11,75747,435,519,96,5554,0
2020-07-12,75853,106,516,97,5554,0
2020-07-13,76035,182,477,92,5564,10
2020-07-14,76551,516,466,89,5581,17
2020-07-15,76961,410,437,81,5610,29
2020-07-16,77293,332,364,68,5617,7
2020-07-17,77442,149,340,69,5642,25
2020-07-18,77530,88,348,68,5652,10
2020-07-19,77530,0,349,69,5652,0
2020-07-20,78275,745,323,62,5663,11
2020-07-21,78412,137,332,55,5671,8
2020-07-22,78720,308,316,51,5690,19
